block_number,trial_number,state_index,state_id,stim_id,context,feedback,probabilities,rewards,action,prediction_errors,correct_action,accuracy,w_values,v_values,trial_total,averaged_pe,w_values1,w_values2
0,10,0,State CD,"['C', 'D']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]",0,"[np.float64(0.4276858018922496), np.float64(-0.5723141981077504)]",0,1,[ 0.83919545 -0.16080455],[np.float64(0.5723141981077504)],10,-0.07231419810775042,0.8391954473282832,-0.1608045526717168
0,10,0,State AB,"['B', 'A']",Reward,"[10.0, 0.0]","['75', '25']","[0, 1]",0,"[np.float64(-0.5086626556265103), np.float64(0.49133734437348975)]",0,1,[ 0.92197314 -0.07802686],[np.float64(0.5086626556265103)],10,-0.008662655626510252,0.9219731426422392,-0.07802685735776084
0,9,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]",0,"[np.float64(-0.4182119423999999), np.float64(-0.4182119423999999)]",0,1,[-0.49687253 -0.50312747],[np.float64(-0.5817880576000001)],9,-0.4182119423999999,-0.49687252995301784,-0.5031274700469821
0,10,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]",0,"[np.float64(0.36999619386907034), np.float64(-0.6300038061309297)]",0,1,[-0.26498547 -0.73501453],[np.float64(-0.36999619386907034)],10,-0.13000380613092966,-0.26498547183803034,-0.7350145281619697
0,10,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]",1,"[np.float64(0.6487019683840001), np.float64(-0.35129803161599993)]",0,0,[-0.61225839 -0.38774161],[np.float64(-0.6487019683840001)],10,0.14870196838400007,-0.6122583949917708,-0.3877416050082293
0,11,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]",0,"[np.float64(0.3107968028500191), np.float64(-0.6892031971499809)]",0,1,[ 0.10387156 -0.89612844],[np.float64(-0.3107968028500191)],11,-0.1892031971499809,0.10387155502882368,-0.8961284449711763
0,11,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]",1,"[np.float64(0.7049096534425601), np.float64(-0.29509034655743993)]",0,0,[-0.40679256 -0.59320744],[np.float64(-0.7049096534425601)],11,0.20490965344256007,-0.40679255685723614,-0.593207443142764
0,11,0,State AB,"['A', 'B']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]",0,"[np.float64(0.5727233692737315), np.float64(-0.4272766307262686)]",0,1,[0.98717787 0.01282213],[np.float64(0.4272766307262686)],11,0.07272336927373144,0.9871778709234037,0.012822129076596257
0,11,0,State CD,"['D', 'C']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]",0,"[np.float64(-0.6407439264105104), np.float64(-0.6407439264105104)]",0,1,[ 0.82979845 -0.17020155],[np.float64(0.6407439264105104)],11,-0.6407439264105104,0.8297984527234831,-0.17020154727651693
0,12,0,State CD,"['C', 'D']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]",0,"[np.float64(0.46177510181517134), np.float64(0.46177510181517134)]",0,1,[ 0.41968916 -0.58031084],[np.float64(0.5382248981848287)],12,0.46177510181517134,0.41968916383359506,-0.580310836166405
0,12,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, 0.0]","['25', '75']","[0, 0]",0,"[np.float64(0.7521241088917504), np.float64(0.7521241088917504)]",0,1,[-0.24539869 -0.75460131],[np.float64(-0.7521241088917504)],12,0.7521241088917504,-0.245398690789866,-0.7546013092101341
