block_number,trial_number,state_id,stim_id,q_values,action,w_values
0,51907,State DG,DG,"[np.float64(0.11138190449789284), np.float64(-0.4422979618654166)]",1,"[np.float64(-0.943829336025952), np.float64(0.6572420270534568)]"
0,51908,State AE,AE,"[np.float64(0.7466441402796394), np.float64(-0.19168000118639866)]",0,"[np.float64(0.0990377091989641), np.float64(0.17617274018176232)]"
0,51909,State EH,EH,"[np.float64(-0.19168000118639866), np.float64(-0.7719191873242413)]",0,"[np.float64(0.17617274018176232), np.float64(0.3427579729465432)]"
0,51910,State AB,AB,"[np.float64(0.7466441402796394), np.float64(0.07918331322338143)]",0,"[np.float64(0.0990377091989641), np.float64(-0.900962290801036)]"
0,51911,State CE,CE,"[np.float64(0.7687773405972363), np.float64(-0.19168000118639866)]",0,"[np.float64(0.056170663974048005), np.float64(0.17617274018176232)]"
0,51912,State GN,GN,"[np.float64(-0.4422979618654166), np.float64(-1.0)]",0,"[np.float64(0.6572420270534568), np.float64(-1.0)]"
0,51913,State BE,BE,"[np.float64(0.07918331322338143), np.float64(-0.19168000118639866)]",1,"[np.float64(-0.900962290801036), np.float64(0.17617274018176232)]"
0,51914,State AE,AE,"[np.float64(0.7466441402796394), np.float64(-0.19168000118639866)]",0,"[np.float64(0.0990377091989641), np.float64(0.17617274018176232)]"
0,51915,State DF,DF,"[np.float64(0.11138190449789284), np.float64(-0.46876311738506926)]",0,"[np.float64(-0.943829336025952), np.float64(-0.8238272598182378)]"
0,51916,State BH,BH,"[np.float64(0.07918331322338143), np.float64(-0.7719191873242413)]",1,"[np.float64(-0.900962290801036), np.float64(0.3427579729465432)]"
0,51917,State BG,BG,"[np.float64(0.07918331322338143), np.float64(-0.4422979618654166)]",1,"[np.float64(-0.900962290801036), np.float64(0.6572420270534568)]"
0,51918,State AE,AE,"[np.float64(0.7466441402796394), np.float64(-0.19168000118639866)]",1,"[np.float64(0.0990377091989641), np.float64(0.17617274018176232)]"
0,51919,State GN,GN,"[np.float64(-0.4422979618654166), np.float64(-1.0)]",0,"[np.float64(0.6572420270534568), np.float64(-1.0)]"
